City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Tselinnoye,RU,53.08,85.67,65.07,69,76,9.98
Ucluelet,CA,48.93,-125.55,57.99,82,0,1.01
Mar del Plata,AR,-38.0,-57.56,56.32,100,90,4.7
Omboué,GA,-1.57,9.26,72.91,92,78,6.26
Sorong,ID,-0.88,131.25,84.18,77,41,7.4
‘Āhuimanu,US,21.44,-157.84,80.87,43,90,10.29
Malegaon,IN,20.55,74.53,84.6,66,100,6.67
Lebu,CL,-37.62,-73.65,52.34,94,100,10.6
Arraial do Cabo,BR,-22.97,-42.03,70.5,72,38,15.95
Goderich,CA,43.75,-81.72,55.67,82,0,7.18
Klaksvík,FO,62.23,-6.59,48.2,87,100,20.8
Mīnāb,IR,27.15,57.08,89.6,79,2,6.93
Lompoc,US,34.64,-120.46,55.65,71,0,13.87
Ushuaia,AR,-54.8,-68.3,39.2,80,90,20.8
Erenhot,CN,43.65,111.98,87.12,15,100,10.83
Alyangula,AU,-13.85,136.42,82.4,61,0,9.17
Punta Arenas,CL,-53.15,-70.92,33.39,86,91,11.41
Napa,US,38.48,-122.33,65.68,38,0,1.99
Sitka,US,57.05,-135.33,51.8,76,90,3.94
Barra de Tecoanapa,MX,16.52,-98.75,82.35,77,54,1.41
Port Hedland,AU,-20.32,118.57,82.4,39,0,12.75
East London,ZA,-33.02,27.91,51.8,81,1,6.93
Meulaboh,ID,4.14,96.13,83.62,64,88,2.46
Bluff,NZ,-46.6,168.33,48.63,73,100,14.36
Zyryanka,RU,65.75,150.85,87.03,20,78,10.29
Kintampo,GH,8.06,-1.73,72.64,99,100,5.23
Butaritari,KI,3.07,172.79,83.25,77,63,8.57
La Paz,BO,-16.5,-68.15,35.6,64,20,5.82
Vaini,TO,-21.2,-175.2,75.2,69,20,11.41
Tasiilaq,GL,65.61,-37.64,39.2,80,100,17.22
Albany,US,42.6,-73.97,59.41,63,1,3.06
Vilhena,BR,-12.74,-60.15,68.05,73,0,2.66
Saint Paul Harbor,US,57.79,-152.41,51.8,87,90,18.34
Cape Town,ZA,-33.93,18.42,47.66,87,0,3.36
Bethel,US,41.37,-73.41,57.38,87,1,3.36
Catalão,BR,-18.17,-47.95,62.19,80,60,9.75
Khovd,MN,48.01,91.64,72.3,30,55,5.95
Sovetskiy,RU,61.36,63.58,45.75,87,100,12.55
George Town,MY,5.41,100.34,87.57,74,20,4.7
Hithadhoo,MV,-0.6,73.08,84.4,76,58,11.39
Hermanus,ZA,-34.42,19.23,53.01,79,0,1.01
Busselton,AU,-33.65,115.33,58.59,92,86,20.29
Kaka,TM,37.35,59.61,86.52,13,2,3.49
Boa Vista,BR,2.82,-60.67,78.8,88,75,3.36
Cabedelo,BR,-6.98,-34.83,76.66,83,12,10.8
Qaqortoq,GL,60.72,-46.03,39.2,86,0,8.05
Kalulushi,ZM,-12.84,28.09,46.31,86,0,4.68
Castro,BR,-24.79,-50.01,57.92,94,54,8.99
Yellowknife,CA,62.46,-114.35,60.4,38,20,14.99
Port Macquarie,AU,-31.43,152.92,68.68,56,75,5.82
Rikitea,PF,-23.12,-134.97,75.31,78,0,17.07
Khatanga,RU,71.97,102.5,54.52,41,73,8.03
Sherlovaya Gora,RU,50.57,116.25,80.13,29,80,4.18
Port Blair,IN,11.67,92.75,84.36,77,100,14.7
Saint-Joseph,RE,-21.37,55.62,58.66,82,90,11.41
Souillac,MU,-20.52,57.52,71.6,78,75,16.11
Ambulu,ID,-8.35,113.61,85.14,68,88,7.25
Sambava,MG,-14.27,50.17,70.74,80,28,16.49
Portland,US,45.52,-122.68,57.07,84,28,1.83
Tabou,CI,4.42,-7.35,77.04,90,99,10.92
Luebo,CD,-5.35,21.42,60.98,52,0,2.64
Chokurdakh,RU,70.63,147.92,80.1,31,19,12.08
Haines Junction,CA,60.75,-137.51,55.74,53,100,7.4
Maryville,US,35.76,-83.97,61.34,77,75,8.05
Hilo,US,19.73,-155.09,71.19,88,89,5.01
Atuona,PF,-9.8,-139.03,80.28,76,70,18.61
Santa Lucía,ES,27.91,-15.54,71.2,94,20,11.41
New Norfolk,AU,-42.78,147.06,48.79,71,46,3.0
Ust'-Omchug,RU,61.15,149.63,73.11,31,99,7.25
Saint-Philippe,RE,-21.36,55.77,57.81,82,90,11.41
Tuktoyaktuk,CA,69.45,-133.04,60.8,72,75,6.93
Ossora,RU,59.24,163.07,54.18,68,68,8.75
Kruisfontein,ZA,-34.0,24.73,48.49,89,0,4.63
São Filipe,CV,14.9,-24.5,75.11,82,0,9.91
Ancud,CL,-41.87,-73.82,49.55,100,90,4.7
Gouré,NE,13.98,10.27,90.0,40,100,4.0
Severo-Kuril'sk,RU,50.68,156.12,44.22,87,100,11.79
Mount Gambier,AU,-37.83,140.77,57.2,62,90,8.05
Carutapera,BR,-1.2,-46.02,74.79,93,14,5.55
Bredasdorp,ZA,-34.53,20.04,41.0,93,0,4.34
Sweetwater,US,25.76,-80.37,79.57,61,20,9.17
Cochrane,CA,51.18,-114.47,55.76,58,75,5.82
Port Alfred,ZA,-33.59,26.89,48.0,91,0,11.48
Half Moon Bay,US,37.46,-122.43,58.37,76,1,14.99
Jamestown,US,42.1,-79.24,57.97,59,1,6.93
Palmer,US,42.16,-72.33,53.02,81,66,1.19
Lavrentiya,RU,65.58,-171.0,51.75,55,0,3.98
Bijie,CN,27.31,105.29,77.72,71,100,6.58
Kaitangata,NZ,-46.28,169.85,45.0,73,100,1.99
Mahébourg,MU,-20.41,57.7,71.6,78,75,16.11
Kismayo,SO,-0.36,42.55,78.62,73,85,17.45
Takoradze,GH,4.88,-1.76,77.65,90,94,10.87
College,US,64.86,-147.8,72.95,38,75,9.17
Port Hardy,CA,50.7,-127.42,57.2,71,20,17.22
Northam,GB,51.03,-4.22,54.99,98,87,1.99
Margate,GB,51.38,1.39,59.67,64,97,4.7
Kalmunai,LK,7.42,81.82,87.91,60,84,3.31
Sioux Lookout,CA,50.1,-91.92,78.8,54,75,5.82
Suntar,RU,62.14,117.63,52.59,95,100,8.97
Port Elizabeth,ZA,-33.92,25.57,51.8,87,0,5.7
Qaanaaq,GL,77.48,-69.36,33.82,83,0,1.03
Puerto Escondido,MX,15.85,-97.07,81.97,74,71,3.56
Berndorf,AT,47.95,16.11,63.0,82,100,3.0
Marabba,SD,12.35,32.18,83.52,53,97,10.02
Beitbridge,ZW,-22.22,30.0,56.64,75,59,14.43
Fortuna,US,40.6,-124.16,57.25,82,1,13.87
Kapaa,US,22.08,-159.32,77.58,59,30,3.0
Tautira,PF,-17.73,-149.15,82.2,74,75,9.17
Saldanha,ZA,-33.01,17.94,48.2,76,0,2.24
Guerrero Negro,MX,27.98,-114.06,64.11,84,0,14.67
Dudinka,RU,69.41,86.18,42.8,56,75,13.42
Esim,GH,4.87,-2.24,77.54,89,98,9.75
Yar-Sale,RU,66.83,70.83,45.39,53,30,15.26
Ponta do Sol,PT,32.67,-17.1,64.78,88,40,4.7
Bemban,MY,2.27,102.37,87.4,66,20,3.56
Mataura,NZ,-46.19,168.86,43.57,94,100,2.71
Ashquelon,IL,31.67,34.57,68.5,68,0,2.24
Flinders,AU,-34.58,150.86,59.74,74,85,4.0
Aasiaat,GL,68.71,-52.87,32.58,95,79,8.05
Gori,GE,41.98,44.12,68.36,70,100,4.5
Taoudenni,ML,22.68,-3.98,92.88,11,0,10.07
Linxia Chengguanzhen,CN,35.6,103.21,70.38,37,56,4.59
Esperance,AU,-33.87,121.9,64.4,37,95,17.22
Cayenne,GF,4.93,-52.33,77.0,100,96,2.95
Tecpan,GT,14.76,-90.99,61.2,88,75,9.17
Bradford,GB,53.79,-1.75,54.97,98,86,1.01
Ilulissat,GL,69.22,-51.1,35.6,80,61,3.36
Khrebtovaya,RU,56.7,104.25,61.07,40,19,6.98
Torbay,CA,47.67,-52.73,56.28,54,90,18.34
Hobart,AU,-42.88,147.33,50.81,46,20,11.41
Bataiporã,BR,-22.3,-53.27,65.53,81,0,7.72
Avarua,CK,-21.21,-159.78,73.4,64,0,6.93
Porterville,US,36.07,-119.02,78.15,36,1,5.82
Ostrovnoy,RU,68.05,39.51,44.46,70,80,15.43
Sydney,AU,-33.87,151.21,61.45,67,75,18.34
Barrow,US,71.29,-156.79,39.2,80,40,16.11
Gabú,GW,12.28,-14.22,71.98,82,100,5.55
Ola,RU,59.58,151.28,53.94,72,16,16.6
Hambantota,LK,6.12,81.12,86.0,84,20,12.75
Tiznit Province,MA,29.58,-9.5,65.82,56,6,3.13
Sainte-Rose,GP,16.33,-61.7,78.8,83,30,5.82
Brae,GB,60.4,-1.35,46.4,100,95,3.36
Poya,NC,-21.35,165.15,77.2,58,1,6.98
Vila Velha,BR,-20.33,-40.29,68.54,94,75,3.36
Campbell River,CA,50.02,-125.24,63.93,52,20,5.82
Saint George,US,37.1,-113.58,87.71,11,1,26.4
Kautokeino,NO,69.01,23.04,47.62,60,25,9.98
Fukuechō,JP,32.69,128.84,75.2,83,75,4.7
Hong Kong,HK,22.29,114.16,87.58,66,0,11.99
Husavik,IS,66.04,-17.34,41.0,80,8,19.46
Honningsvåg,NO,70.98,25.97,42.8,81,75,9.17
Nouadhibou,MR,20.93,-17.03,77.13,53,0,20.22
Warrnambool,AU,-38.38,142.48,53.01,62,93,4.16
Kokopo,PG,-4.35,152.26,82.76,77,23,4.88
Kavieng,PG,-2.57,150.8,85.64,62,38,5.5
Wanning,CN,18.8,110.4,85.05,71,88,16.06
Upernavik,GL,72.79,-56.15,31.23,95,52,0.38
Harper,LR,4.38,-7.72,77.16,90,99,11.1
Carnarvon,AU,-24.87,113.63,80.6,47,0,10.29
Lębork,PL,54.54,17.75,56.01,93,0,2.24
